,0
0,841
1,2629
2,2109
3,2382
4,2532
5,1835
6,2410
7,2624
8,1470
9,814
10,851
11,1025
12,186
13,1359
14,2504
15,300
16,1218
17,857
18,499
19,2237
20,1212
21,1789
22,1156
23,852
24,75
25,1884
26,1672
27,1352
28,1907
29,86
30,2506
31,2284
32,2178
33,873
34,254
35,733
36,1040
37,737
38,1909
39,2202
40,133
41,1078
42,1002
43,1414
44,365
45,1059
46,1805
47,901
48,287
49,805
50,2219
51,436
52,1024
53,2526
54,1178
55,1943
56,2367
57,1910
58,2521
59,1187
60,1188
61,1348
62,1195
63,1811
64,840
65,243
66,2370
67,1093
68,1988
69,1057
70,1283
71,1081
72,410
73,892
74,1397
75,2635
76,1977
77,1281
78,903
79,1632
80,2059
81,1717
82,2599
83,2511
84,2286
85,2415
86,1989
87,2416
88,808
89,2017
90,2392
91,1679
92,1654
93,1091
94,1089
95,2579
96,289
97,1718
98,139
99,2675
100,1219
101,1854
102,889
103,2567
104,907
105,2611
106,855
107,1042
108,1413
109,1063
110,514
111,1650
112,183
113,145
114,558
115,467
116,527
117,2058
118,2531
119,500
120,328
121,832
122,511
123,507
124,74
125,85
126,154
127,524
128,557
129,830
130,83
131,69
132,65
133,123
134,501
135,691
136,529
137,375
138,520
139,518
140,663
141,530
142,656
143,515
144,549
145,494
146,424
147,136
148,712
149,509
150,449
151,296
152,659
153,90
154,433
155,519
156,68
157,1367
158,495
159,559
160,143
161,512
162,1906
163,327
164,15
165,184
166,714
167,1842
168,496
169,77
170,657
171,67
172,553
173,2013
174,535
175,1
176,550
177,493
178,367
179,531
180,144
181,306
182,538
183,124
184,120
185,548
186,305
187,2403
188,532
189,2389
190,740
191,417
192,551
193,475
194,505
195,187
196,2273
197,660
198,480
199,539
200,528
201,430
202,18
203,665
204,554
205,421
206,231
207,513
208,510
209,188
210,376
211,23
212,339
213,502
214,552
215,525
216,516
217,1044
218,1363
219,523
