,0
0,82.30592
1,86.23598
2,82.10709
3,85.54359
4,84.3724
5,86.030304
6,86.09336
7,85.94445
8,86.0858
9,86.092834
10,86.03413
11,86.08783
12,86.046295
13,87.38542
14,86.13987
15,86.09213
16,86.320625
17,85.08305
18,84.50469
19,86.12687
20,85.78046
21,86.00195
22,86.136696
23,86.09129
24,86.092834
25,86.09094
26,86.011536
27,85.6262
28,86.05562
29,83.25781
30,82.35498
31,82.16999
32,83.27639
33,83.27758
34,82.18705
35,82.10709
36,82.10709
37,81.9017
38,83.39915
39,81.34105
40,82.330376
41,81.126595
42,80.66313
43,80.419334
44,82.20808
45,82.434105
46,82.3937
47,83.47551
48,81.91871
49,83.363846
50,83.48443
51,82.21872
52,82.40392
53,82.41813
54,83.36599
55,82.151184
56,81.89949
57,81.249886
58,82.31306
59,86.3832
60,83.317154
61,80.7519
62,79.8318
63,82.10709
64,86.06705
65,87.07523
66,85.60106
67,83.48882
68,83.859344
69,84.423805
70,85.90877
71,86.148415
72,86.25557
73,86.30836
74,86.09002
75,87.238365
76,86.09202
77,87.06389
78,86.167534
79,85.54628
80,86.11516
81,86.09083
82,86.19764
83,85.87598
84,86.181465
85,86.31452
86,87.30177
87,86.09269
88,84.29988
89,86.9146
90,85.87111
91,86.221725
92,83.144035
93,80.32354
94,82.343704
95,82.375046
96,82.114555
97,81.14656
98,81.14656
99,82.10709
100,79.63845
101,82.21874
102,80.03531
103,80.06037
104,80.39522
105,79.9921
106,83.49722
107,82.268326
108,82.10709
109,81.86748
110,83.3663
111,82.10709
112,82.10709
113,82.10709
114,83.37522
115,82.10709
116,82.14319
117,82.10709
118,82.12495
119,86.09377
120,80.96927
121,86.14479
122,86.091545
123,87.33121
124,87.54052
125,85.53969
126,86.368256
127,82.23541
128,82.10709
129,82.10709
130,83.34251
131,82.10709
132,86.09079
133,87.20741
134,86.083694
135,83.43009
136,86.30926
137,86.25509
138,85.46525
139,86.090065
140,86.14101
141,85.5461
142,83.985115
143,83.11821
144,86.093155
145,85.94444
146,86.3502
147,83.27044
148,84.87964
149,84.49072
150,85.47498
151,87.070496
152,87.06702
153,86.24005
154,87.1611
155,86.08362
156,82.2693
157,80.224884
158,82.10709
159,82.26322
160,83.37064
161,82.10709
162,82.10709
163,82.302124
164,82.330376
165,82.10709
166,80.99612
167,82.10709
168,82.266754
169,82.10709
170,82.330376
171,83.42577
172,83.41009
173,81.118614
174,80.301285
175,83.42765
176,83.114044
177,82.9489
178,82.20259
179,80.59726
180,82.10709
