,residuals
4,-1.0581283569335938
10,-1.0581283569335938
31,-1.0581283569335938
36,-1.0581283569335938
43,-1.0581283569335938
55,-1.0581283569335938
61,-1.0581283569335938
82,-1.0581283569335938
87,-1.0581283569335938
94,-1.0581283569335938
106,-1.0581283569335938
112,-1.0581283569335938
133,-1.0581283569335938
138,-1.0581283569335938
145,-1.0581283569335938
157,-1.0581283569335938
163,-1.0581283569335938
184,-1.0581283569335938
189,-1.0581283569335938
196,-1.0581283569335938
208,-1.0581283569335938
214,-1.0581283569335938
235,-1.0581283569335938
240,-1.0581283569335938
247,-1.0581283569335938
259,-1.0581283569335938
265,-1.0581283569335938
286,-1.0581283569335938
291,-1.0581283569335938
298,-1.0581283569335938
310,-1.0581283569335938
316,-1.0581283569335938
337,-1.0581283569335938
342,-1.0581283569335938
349,-1.0581283569335938
361,-1.0581283569335938
367,-1.0581283569335938
388,-1.0581283569335938
393,-1.0581283569335938
400,-1.0581283569335938
412,-1.0581283569335938
418,-1.0581283569335938
439,-1.0581283569335938
444,-1.0581283569335938
451,-1.0581283569335938
463,-1.0581283569335938
469,-1.0581283569335938
490,-1.0581283569335938
495,-1.0581283569335938
502,-1.0581283569335938
514,-1.0581283569335938
520,-1.0581283569335938
541,-1.0581283569335938
546,-1.0581283569335938
553,-1.0581283569335938
565,-1.0581283569335938
571,-1.0581283569335938
592,-1.0581283569335938
597,-1.0581283569335938
604,-1.0581283569335938
616,-1.0581283569335938
622,-1.0581283569335938
643,-1.0581283569335938
648,-1.0581283569335938
655,-1.0581283569335938
667,-1.0581283569335938
673,-1.0581283569335938
694,-1.0581283569335938
699,-1.0581283569335938
706,-1.0581283569335938
718,-1.0581283569335938
724,-1.0581283569335938
745,-1.0581283569335938
750,-1.0581283569335938
757,-1.0581283569335938
769,-1.0581283569335938
775,-1.0581283569335938
796,-1.0581283569335938
801,-1.0581283569335938
808,-1.0581283569335938
820,-1.0581283569335938
826,-1.0581283569335938
847,-1.0581283569335938
852,-1.0581283569335938
859,-1.0581283569335938
871,-1.0581283569335938
877,-1.0581283569335938
898,-1.0581283569335938
903,-1.0581283569335938
910,-1.0581283569335938
922,-1.0581283569335938
928,-1.0581283569335938
949,-1.0581283569335938
954,-1.0581283569335938
961,-1.0581283569335938
973,-1.0581283569335938
979,-1.0581283569335938
1000,-1.0581283569335938
1005,-1.0581283569335938
1012,-1.0581283569335938
1024,-1.0581283569335938
1030,-1.0581283569335938
1051,-1.0581283569335938
1056,-1.0581283569335938
1063,-1.0581283569335938
1075,-1.0581283569335938
1081,-1.0581283569335938
1102,-1.0581283569335938
1107,-1.0581283569335938
1114,-1.0581283569335938
1126,-1.0581283569335938
1132,-1.0581283569335938
1153,-1.0581283569335938
1158,-1.0581283569335938
1165,-1.0581283569335938
1177,-1.0581283569335938
1183,-1.0581283569335938
1204,-1.0581283569335938
1209,-1.0581283569335938
1216,-1.0581283569335938
1228,-1.0581283569335938
1234,-1.0581283569335938
1255,-1.0581283569335938
1260,-1.0581283569335938
1267,-1.0581283569335938
1279,-1.0581283569335938
1285,-1.0581283569335938
1306,-1.0581283569335938
1311,-1.0581283569335938
1318,-1.0581283569335938
1330,-1.0581283569335938
1336,-1.0581283569335938
1357,-1.0581283569335938
1362,-1.0581283569335938
1369,-1.0581283569335938
1381,-1.0581283569335938
1387,-1.0581283569335938
1408,-1.0581283569335938
1413,-1.0581283569335938
1420,-1.0581283569335938
1432,-1.0581283569335938
1438,-1.0581283569335938
1459,-1.0581283569335938
